fitnessId,exercise,weight130,weight155,weight180,weight205,calories,createdAt,updatedAt
60,"Basketball officiating",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
61,"Basketball shooting baskets",266,317,368,419,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
62,"Basketball wheelchair",384,457,531,605,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
63,"Running training pushing wheelchair",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
64,Billiards,148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
65,Bowling,177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
66,"Boxing in ring",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
67,"Boxing punching bag",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
68,"Boxing sparring",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
69,"Coaching: football basketball soccer…",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
70,"Cricket (batting bowling)",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
71,Croquet,148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
72,Curling,236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
73,"Darts (wall or lawn)",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
74,Fencing,354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
75,"Football competitive",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
76,"Football touch flag general",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
77,"Football or baseball playing catch",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
78,"Frisbee playing general",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
79,"Frisbee ultimate frisbee",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
80,"Golf general",266,317,368,419,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
81,"Golf walking and carrying clubs",266,317,368,419,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
82,"Golf driving range",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
83,"Golf miniature golf",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
84,"Golf walking and pulling clubs",254,303,351,400,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
85,"Golf using power cart",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
86,Gymnastics,236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
87,"Hacky sack",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
88,Handball,708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
89,"Handball team",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
90,"Hockey field hockey",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
91,"Hockey ice hockey",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
92,"Riding a horse general",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
93,"Horesback riding saddling horse",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
94,"Horseback riding grooming horse",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
95,"Horseback riding trotting",384,457,531,605,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
96,"Horseback riding walking",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
97,"Horse racing galloping",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
98,"Horse grooming moderate",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
99,"Horseshoe pitching",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
100,"Jai alai",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
101,"Martial arts judo karate jujitsu",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
102,"Martial arts kick boxing",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
103,"Martial arts tae kwan do",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
104,"Krav maga training",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
105,Juggling,236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
106,Kickball,413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
