47,"Running, 10 mph (6 min mile)",944,1126,1308,1489,3.29497352835821,"2020-11-02 16:26:57","2020-11-02 16:26:57"
48,"Running, 10.9 mph (5.5 min mile)",1062,1267,1471,1675,3.70659134328358,"2020-11-02 16:26:57","2020-11-02 16:26:57"
49,"Running, cross country",531,633,735,838,1.85295717014925,"2020-11-02 16:26:57","2020-11-02 16:26:57"
50,"Running, general",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
51,"Running, on a track, team practice",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
52"Running, stairs, up",885,1056,1226,1396,3.08916462089552,"2020-11-02 16:26:57","2020-11-02 16:26:57"
53,"Track and field (shot, discus)",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
54,"Track and field (high jump, pole vault)",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
55,"Track and field (hurdles)",590,704,817,931,2.05944308059702,"2020-11-02 16:26:57","2020-11-02 16:26:57"
56,Archery,207,246,286,326,0.721008179104478,"2020-11-02 16:26:57","2020-11-02 16:26:57"
57,Badminton,266,317,368,419,0.927494089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
58,"Basketball game, competitive",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
59,"Playing basketball, non game",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
60,"Basketball, officiating",413,493,572,651,1.44133935522388,"2020-11-02 16:26:57","2020-11-02 16:26:57"
61,"Basketball, shooting baskets",266,317,368,419,0.927494089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
62,"Basketball, wheelchair",384,457,531,605,1.33843490149254,"2020-11-02 16:26:57","2020-11-02 16:26:57"
63,"Running, training, pushing wheelchair",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
64,Billiards,148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
65,Bowling,177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
66,"Boxing, in ring",708,844,981,1117,2.47106089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
67,"Boxing, punching bag",354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
68,"Boxing, sparring",531,633,735,838,1.85295717014925,"2020-11-02 16:26:57","2020-11-02 16:26:57"
69,"Coaching: football, basketball, soccer…",236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
70,"Cricket (batting, bowling)",295,352,409,465,1.02972154029851,"2020-11-02 16:26:57","2020-11-02 16:26:57"
71,Croquet,148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
72,Curling,236,281,327,372,0.823235629850746,"2020-11-02 16:26:57","2020-11-02 16:26:57"
73,"Darts (wall or lawn)",148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
74,Fencing,354,422,490,558,1.23485344477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
75,"Football, competitive",531,633,735,838,1.85295717014925,"2020-11-02 16:26:57","2020-11-02 16:26:57"
76,"Football, touch, flag, general",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
77,"Football or baseball, playing catch",148,176,204,233,0.515199271641791,"2020-11-02 16:26:57","2020-11-02 16:26:57"
78,"Frisbee playing, general",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
79,"Frisbee, ultimate frisbee",472,563,654,745,1.64782526567164,"2020-11-02 16:26:57","2020-11-02 16:26:57"
80,"Golf, general",266,317,368,419,0.927494089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
81,"Golf, walking and carrying clubs",266,317,368,419,0.927494089552239,"2020-11-02 16:26:57","2020-11-02 16:26:57"
82,"Golf, driving range",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
83,"Golf, miniature golf",177,211,245,279,0.61742672238806,"2020-11-02 16:26:57","2020-11-02 16:26:57"
84,"Golf, walking and pulling clubs",254,303,351,400,0.885519904477612,"2020-11-02 16:26:57","2020-11-02 16:26:57"
